Last Name,Website,Company,Phone,Street,City,State,Zip,Email,Owner
Midwest Bottles,www.midwestbottles.com,Midwest Bottles,866-436-6373,18999 State Route 784,Garrison,KY,41141,bottlesupplier@yahoo.com,zcrm_4276919000002110056
Tiger Promo,www.tigerpromo.com,Tiger Promo,(800) 686-5242,"595 Old Norcross Road, Suite G",Lawrenceville,GA,30046,cs@tigerpromo.com,zcrm_4276919000002110056
East Hill Beauty Packaging Resources,www.packagingcosmetics.com,East Hill Beauty Packaging Resources,(972) 367-6060,2840 Commodore Dr.Suite 120,Carrollton,TX,75007,sales@easthi.com,zcrm_4276919000002110056
Cosmetic packaging Now,www.cosmeticpackagingnow.com,Cosmetic packaging Now, (469) 833-2242,701 Commerce St,Dallas,TX,75202,info@cosmeticpackagingnow.com,zcrm_4276919000002110056
Paper Mart,www.papermart.com,Paper Mart,714.787.4900,2164 N. Batavia Street,Orange,CA,92865,,zcrm_4276919000002110056
Takeya,takeyausa.com,Takeya,714-374-9900,270 East Baker Street Suite 200 ,Costa Mesa,CA,92626,customerservice@takeyausa.com,zcrm_4276919000002110056
Kush Supply co.,www.kushsupplyco.com,Kush Supply co.,888.920.5874,7375 Chapman Ave,Garden Grove,CA ,92841,,zcrm_4276919000002110056
Alameda Packaging,www.alamedapackaging.com,Alameda Packaging,(510) 651-0277,4445 Enterprise Street,Fremont,CA,94538,info@alamedapackaging.com,zcrm_4276919000002110056
EcoVessel,www.ecovessel.com,EcoVessel,800-969-2962,"1600 Range Street, 104 ",Boulder,CO,80301,,zcrm_4276919000002110056
Glass Bottle Outlet ,glassbottleoutlet.com,Glass Bottle Outlet ,(888) 395-6551,110 W Interlake Blvd,Lake Placid,FL,33852,,zcrm_4276919000002110056
Fillmore Container,www.fillmorecontainer.com,Fillmore Container,717-397-4131,2315 Norman Road,Lancaster,PA,17601,,zcrm_4276919000002110056
CP Lab Safety,www.calpaclab.com,CP Lab Safety,(888) 322-5722,14 Commercial Blvd # 113,Novato,CA,94949,,zcrm_4276919000002110056
Specialty Bottle,www.specialtybottle.com,Specialty Bottle,206-382-1100,3434 4th Avenue S,Seattle, WA,98134,service@specialtybottle.com,zcrm_4276919000002110056
Cup Barn,www.cupbarn.com,Cup Barn,(559) 891-9888,2014 2nd Street,Selma,CA,93662,,zcrm_4276919000002110056
Best bootles,www.bestbottles.com,Best bootles,(800)-936-3628,34135 7th Street,Union City,CA,94587,sales@nematinternational.com,zcrm_4276919000002110056
General Bottle Supply,www.bottlesetc.com,General Bottle Supply,(323) 581-2001,1845 Daly St.,Los Angeles,CA,90031,,zcrm_4276919000002110056
E.D.Luce Packaging,www.essentialsupplies.com,E.D.Luce Packaging,(562) 802-0515,13918 Equitable Road,Cerritos,CA,90703-2315,,zcrm_4276919000002110056
Glopak Wine & Spirits,www.glopakwineandspirits.com,Glopak Wine & Spirits,(844-445-6725),35 Engel Street,Hicksville,NY,11801,,zcrm_4276919000002110056
Liquid Bottles,www.liquidbottles.com,Liquid Bottles,888-222-5232,3165 Lakewood Ranch Blvd Suite 112,Bradenton,FL ,34211,Info@LIquidBottles.com,zcrm_4276919000002110056
Nalgene,www.nalgene.com,Nalgene,1-800-625-4327,75 Panorama Creek Drive,Rochester,NY,14625,,zcrm_4276919000002110056
SBG Packaging,sgbpackaging.com,SBG Packaging,201-488-3030,"
401 Hackensack Avenue 7th Floor",Hackensack,NJ,7601,info@sgbpackaging.com,zcrm_4276919000002110056
McKernan Packaging Clearing House,www.mckernan.com,McKernan Packaging Clearing House,775-356-6111,PO Box 7281,Reno,NV,89510,,zcrm_4276919000002110056
Aaron Packaging,www.aaronpackaging.com,Aaron Packaging,360-889-0152,2035 California Avenue,Corona,CA,92881,,zcrm_4276919000002110056
Glassnow,www.glassnow.com,Glassnow,512-339-7808,12617 Beltex Rd.,Manor,TX,78653,,zcrm_4276919000002110056
Wholesale Supplies Plus,www.wholesalesuppliesplus.com,Wholesale Supplies Plus,216-503-9361,7820 E Pleasant Valley Road,Independence,OH,44131,,zcrm_4276919000002110056
Kan Can,wholesale.kancanusa.com,Kan Can,323-859-3300,,,,,WHOLESALE@KANCANUSA.COM,zcrm_4276919000002110056
Usplastic,www.usplastic.com,Usplastic,419-228-2242,1390 Neubrecht Rd.,Lima,OH,45801,usp@usplastic.com,zcrm_4276919000002110056
Scentsational Shoppe,www.perfumeoils.com,Scentsational Shoppe,201-384-9700,215 S Washington Ave,Bergenfield,NJ ,7621,reply@perfumeoils.com,zcrm_4276919000002110056
Sailor Plastics,www.sailorplastics.com,Sailor Plastics,507-483-2777,08 Maine Ave . PO Box 309,Adrian,MN ,56110,,zcrm_4276919000002110056
Aroma Tools,www.aromatools.com,Aroma Tools,866-728-0070,"439 S, Pleasant Grove Blvd",Pleasant Grove,UT ,84062,service@aromatools.com,zcrm_4276919000002110056
Idaily,www.idaily.com,Idaily,818-68-1561,2900 W. Alameda Ave.,Burbank,CA ,91505,info@idaily.com,zcrm_4276919000002110056
RPC M&H PLASTICS USA,mhplastics.com,RPC M&H PLASTICS USA,540 504 0030,485 Brooke Road,Winchester,VA,22603,sales@mhplasticsusa.com,zcrm_4276919000002110056
Container & Packaging,www.containerandpackaging.com,Container & Packaging,866-429-7905,1345 East State Street,Eagle,ID,83616,info@containerandpackaging.com,zcrm_4276919000002110056
"SKS Bottle & Packaging, Inc.",www.sks-bottle.com,"SKS Bottle & Packaging, Inc.",518-880-6980,"10 Skyward Drive, Saratoga",Springs,NY ,12866,info@sksbottle.com,zcrm_4276919000002110056
ElementsBath&Body,www.elementsbathandbody.com,ElementsBath&Body,502-690-2520,3004 S. Prairie Ave,Pueblo ,CO ,81005,info@elementsbb.com,zcrm_4276919000002110056
Cynthia Prints,wholesaleimprints.com,Cynthia Prints,651-92-1185,905 Jefferson Ave Ste 301,Saint Paul,MN,55102-4740,cynthia@wholesaleimprints.com,zcrm_4276919000002110056
Kinnek Business Solutions LLC,www.kinnek.com,Kinnek Business Solutions LLC,800-784-3151,3 West 35th Street,New York,NY ,10001,questions@kinnek.com,zcrm_4276919000002110056
O.Berk,www.oberk.com,O.Berk,800 631 7392,3 Mill Town Court,UNION,NJ,7083,,zcrm_4276919000002110056
Discount Mugs,www.discountmugs.com,Discount Mugs,305-930-7398,12610 NW 115th Ave,Miami,FL,33178,info@discountmugs.com,zcrm_4276919000002110056
Katydid,www.katydidwholesale.com,Katydid,469-324-6254,2311 Farrington St,Dallas,TX,75207,info@katydidwholesale.com,zcrm_4276919000002110056
Wholesale Fash,wholesalefash.com,Wholesale Fash,213-441-7286,,,,,Wholesalefash@Gmail.Com,zcrm_4276919000002110056
Wholesale Boutique,www.wholesaleboutique.com,Wholesale Boutique,855-652-9429,"10607 Hwy 707, Suite 140",Myrtle Beach,SC,29588,,zcrm_4276919000002110056
Rosegal,https://www.rosegal.com/,Rosegal,360-857-6001,Glen St Mary,Baker County,FL,32040,,zcrm_4276919000002110056
Wholesale Fashion couture Inc.,www.wholesalefashioncouture.com,Wholesale Fashion couture Inc.,(213) 805-5554,1530 e 16th st,Los Angeles,CA,90021,,zcrm_4276919000002110056
Lady Charm Online,www.ladycharmonline.com,Lady Charm Online,214-613-5197,11422 HARRY HINES BLVD. STE. 121,DALLAS,TX,75229,,zcrm_4276919000002110056
RuffleButts,www.rufflebutts.com,RuffleButts,(704) 825-8811,601 South Main Streetsuite 101,Grapevine,TX,76051,love@rufflebutts.com,zcrm_4276919000002110056
Southern Grace Wholesale,southerngracewholesale.com,Southern Grace Wholesale,469-568-0101,1330 Capital Parkway,Carrollton,TX,75006,sales@southerngraceclothing.com,zcrm_4276919000002110056
Alison Schuler,www.waldrongroupllc.com,Waldron Group LLC,248-302-1162,,Fort Wayne,IN,46774,alisonschuler@comcast.net,zcrm_4276919000002110056
Umgee Store,umgeewholesale.com,Umgee Store,(323) 526-9138,1565 E. 23rd St.,Los Angeles,CA,90011,,zcrm_4276919000002110056
Gitiwholesale,www.gitiwholesale.com,Gitiwholesale,786 502-2051,"2824 NW 5th Ave, Miami",Miami,FL,33127,gitiwholesale@gmail.com,zcrm_4276919000002110056
Magnolia Fashion Wholesale,magnoliafashionwholesale.com,Magnolia Fashion Wholesale,305-989-3121,2601 NW 5 Avenue,Miami,FL,33127,,zcrm_4276919000002110056
"Darice, Inc",www.darice.com,"Darice, Inc",866-432-7423,13000 Darice Parkway,Strongsville,OH,44149,,zcrm_4276919000002110056
The Bridal Outlet,www.thebridaloutlet.net,The Bridal Outlet,800-758-8779,"30 Hub Drive, Suite 2",Melville,NV,11747,,zcrm_4276919000002110056
Event Decor Direct,www.eventdecordirect.com,Event Decor Direct,800-914-3538,98 SE 7th St.,Deerfield Beach,FL,33441,,zcrm_4276919000002110056
Wedding Factory Direct,weddingfactorydirect.com,Wedding Factory Direct,(508) 595-9300,292 W Boylston St. (2nd Flr),Worcester,MA,01606,info@weddingfactorydirect.com,zcrm_4276919000002110056
CB Flowers & Crafts,www.cbflowerscrafts.com,CB Flowers & Crafts,213-748-9987,2218 Maple Ave,Los Angeles,CA,90011,,zcrm_4276919000002110056
Koyal Wholesale,www.koyalwholesale.com,Koyal Wholesale,714.459.0600,2325 Raymer Avenue,Fullerton,CA,92833,,zcrm_4276919000002110056
Events Wholesale,www.eventswholesale.com,Events Wholesale,877-417-2289,P.O. Box 972,Watkinsville,GA,30677,info@eventswholesale.com,zcrm_4276919000002110056
Premium Bridal Factory,www.premiumbridalfactory.com,Premium Bridal Factory,562-404-8557,"9945 Pioneer Blvd,",Santa Fe Springs,CA,90670,Partner@PremiumBridalFactory.com,zcrm_4276919000002110056
USABRIDE,www.usabride.com,USABRIDE,978.594.0300,10 Federal Street Ste 400,Salem,MA,01970,,zcrm_4276919000002110056
Idea Ribbon,www.idearibbon.com,Idea Ribbon,909.595.0788 ,20459 Valley Blvd,Walnut,CA,91789,,zcrm_4276919000002110056
Wholesale Wedding Chair Covers,wholesaleweddingchaircovers.com,Wholesale Wedding Chair Covers,407-278-5660,2120 33rd street,Orlando,FL,32839,wholesaleweddingchaircovers@yahoo.com,zcrm_4276919000002110056
"ORIENTAL TRADING COMPANY
",www.orientaltrading.com,"ORIENTAL TRADING COMPANY
",800-875-8480 ,"P.O. Box 2308
",Omaha,NE,68103-2308,,zcrm_4276919000002110056
Event Blossom,www.eventblossom.com,Event Blossom,888 - 543 - 0938,"14752 Sinclair Circle, Suite B",Tustin,CA,92780,,zcrm_4276919000002110056
Jenly Wholesale Inc Party Supplies,jenlyfavors.com,Jenly Wholesale Inc Party Supplies,305-883-1188,15420 SW 136th St. Unit 19,Miami,FL,33196,jenlywholesale@yahoo.com,zcrm_4276919000002110056
Mariell,www.inboundlogistics.com,Mariell,800-248-6264,98 US Highway 46,Budd Lake,NJ,07828,sales@mariellonline.com,zcrm_4276919000002110056
Hortense B. Hewitt,www.hbhwedding.com,Hortense B. Hewitt,800.821.2504,1 Stationery Place,Rexburg,ID,83441,,zcrm_4276919000002110056
Event Supply,www.eventsupply.com,Event Supply,800-218-1556,720 Deerfield Avenue Bay 6,Deerfield Beach,FL,33441,info@eventsupply.com,zcrm_4276919000002110056
"Factory Direct Craft Supply, Inc.",factorydirectcraft.com,"Factory Direct Craft Supply, Inc.",800-252-5223,901 Pleasant Valley Dr,Springboro,OH,Springboro,info@FactoryDirectCraft.com,zcrm_4276919000002110056
"Home Decorations Accessories,Ltd",www.hdaltd.com,"Home Decorations Accessories,Ltd",(800) 827 2772,N116 W18500 Morse Drive,Germantown,WI,53022,,zcrm_4276919000002110056
FashionUnic,www.fashionunic.com,FashionUnic,908-660-0988,23 Lister Ave.,Newark,NJ,07105,,zcrm_4276919000002110056
sunlite,www.sunlite.com,sunlite,718.768.7000,744 Clinton Street ,Brooklyn,NY,11231,sales@sunlite.com,zcrm_4276919000002110056
Bulbs,www.bulbs.com,Bulbs,(888) 455-2800,243 Stafford St.,Worcester,MA,01603,,zcrm_4276919000002110056
Atlanta Light Bulbs,www.atlantalightbulbs.com,Atlanta Light Bulbs,770-491-3145,"2109 Mountain Industrial Blvd,",Tucker,GA,30084,,zcrm_4276919000002110056
Erich Adalbert,www.ledlightingwholesaleinc.com,LED Lighting Wholesale Inc.,269-532-1313,400. E. Cork St.,Kalamazoo,MI,49001,erich@ledlightingwholesaleinc.com,zcrm_4276919000002110056
LIGHT IN DEPOT,www.lightindepot.com,LIGHT IN DEPOT,469-347-5981,"1300 N Interstate 35E, A120",Carrollton,TX,75006,infolightindepot@gmail.com,zcrm_4276919000002110056
Beth Garcia,www.1000bulbs.com,1000Bulbs,972-525-0501,2140 Merritt Dr,Garland,TX,75041,bgarcia@1000bulbs.com,zcrm_4276919000002110056
The Candlemakers Store,thecandlemakersstore.com,The Candlemakers Store,513-868-9425,4951 Hamilton Middletown Rd,Hamilton,OH,45011,candlemakers@fuse.net,zcrm_4276919000002110056
Bridgewater Candle Company.,bridgewatercandles.com,Bridgewater Candle Company.,877-843-2743,951 South Pine Street Suite 105,Spartanburg,SC,29302,,zcrm_4276919000002110056
TheCandleDaddy,thecandledaddy.com,TheCandleDaddy,317-727-9459,7300 yorkshire Blvd,Indianapolis,IN,46229,candledaddy@gmail.com,zcrm_4276919000002110056
Sugar Shack Country Candles,www.sugarshackcandles.com,Sugar Shack Country Candles,(402) 224-3211,707 5th Street,Edgar,NE,68935,,zcrm_4276919000002110056
"The Candle Company, llc",www.candles.com,"The Candle Company, llc",(800) 942-5736,6191 Atlantic Blvd. Suite 5,Norcross,GA,30071,,zcrm_4276919000002110056
"AAA Candle Supply, Inc.",aaacandlesupply.com,"AAA Candle Supply, Inc.",214-342-9898,10460 Brockwood Road,Dallas,TX,75238,,zcrm_4276919000002110056
Stone Candle Bar,www.stonecandles.com,Stone Candle Bar,310.559.0133,1660 Lincoln Blvd,Santa Monica,CA,90404,,zcrm_4276919000002110056
Prosperity Candle Wholesale.,wholesale.prosperitycandle.com,Prosperity Candle Wholesale.,413-203-5444,"116 Pleasant Street, Suite 362",Easthampton,MA,01027,wholesale@prosperitycandle.com,zcrm_4276919000002110056
"Crusader Candle Company, Inc.",www.crusadercandlesco.com,"Crusader Candle Company, Inc.",(917) 338-3811,325 Nevins Street,Brooklyn,NY,11215,,zcrm_4276919000002110056
Goose Creek Candle,goosecreekcandle.com,Goose Creek Candle,800.775.1388,1498 S Wallace Wilkinson Blvd.,Liberty,KY,42539,,zcrm_4276919000002110056
The Pure Candle,www.thepurecandle.com,The Pure Candle,786-991-2260,,,,,sales@privatelabelcandles.com,zcrm_4276919000002110056
100Candles,www.100candles.com,100Candles,323-846-8686,6834 Foster Bridge Blvd.,Bell Gardens,CA,90201,candles@100candles.com,zcrm_4276919000002110056
Jazz Candles,www.jazzcandles.com,Jazz Candles,(318) 686-8583,,Shreveport,LA ,71118,info@jazzcandles.com,zcrm_4276919000002110056
The Candlewic Company,www.candlewic.com,The Candlewic Company,215-230-3601,3765 Old Easton Road,Doylestown,PA,18902,info@candlewic.com,zcrm_4276919000002110056
The Damn Good Company,damngoodco.com,The Damn Good Company,855-678-3266,4470 W Sunset Blvd #90657,Los Angeles,CA,90027,smells.so.good@damngoodco.com,zcrm_4276919000002110056
Colonail Candle,colonialcandle.com,Colonail Candle,866-445-9993,1031 LeGrand Blvd.,Charleston,SC,29492,,zcrm_4276919000002110056
"CANDLE DISTRIBUTION, LLC",candledistribution.com,"CANDLE DISTRIBUTION, LLC",513-248-8180,300 N. Riverside Drive,Batavia,OH,45103,info@candledistribution.com,zcrm_4276919000002110056
Brooklyn Candle Studio,brooklyncandlestudio.com,Brooklyn Candle Studio,(347) 565-0343,33 35th Street Suite B211,Brooklyn,NY,11232,wholesale@brooklyncandlestudio.com,zcrm_4276919000002110056
AZTEC CANDLE & SOAP SUPPLIES,www.candlemaking.com,AZTEC CANDLE & SOAP SUPPLIES,865.588.5357,3010 HENSON RD.,KNOXVILLE,TN,37921,contact@candlemaking.com,zcrm_4276919000002110056
CandleMakingSupplies,www.candlemakingsupplies.net,CandleMakingSupplies,(818) 765-5800,6863 Beck Ave,North Hollywood,CA,91605,factoryOutlet@GeneralWax.com,zcrm_4276919000002110056
Hoosier Candle Company,hoosiercandlecompany.com,Hoosier Candle Company,765-296-9425,731 South Street,Dayton,IN,47941,,zcrm_4276919000002110056
Root Company,rootcandles.com,Root Company,(800) 289-7668,623 W. Liberty St.,Medina,OH,44256,,zcrm_4276919000002110056
Natures Garden Candle Making & Soap Making Supplies,www.naturesgardencandles.com,Natures Garden Candle Making & Soap Making Supplies,440-647-0100,42109 State Route 18,Wellington,OH,44090,,zcrm_4276919000002110056
Fleurty Wick Boutique Candle Co,www.fleurtywick.com,Fleurty Wick Boutique Candle Co,770.652.7103,2835 Washington Street,Avondale Estates,GA,30002,info@fleurtywick.com,zcrm_4276919000002110056
U.S. Candle Company,www.uscandleco.com,U.S. Candle Company,717 564-2220,7241 Paxton St.,Harrisburg,PA,17111,,zcrm_4276919000002110056
Sanari Candle USA LLC,www.sanaricandle.com,Sanari Candle USA LLC,(310) 735-0448,528 Palisades Drive Suite 551,Pacific Palisades,CA,90272,info@sanaricandle.com,zcrm_4276919000002110056
Paramold Manufacturing LLC,www.paramold.com,Paramold Manufacturing LLC,631.589.5454,"90 Bourne Blvd,",Sayville,NY,11782,,zcrm_4276919000002110056
"Lone Star Candle Supply, Inc.",www.lonestarcandlesupply.com,"Lone Star Candle Supply, Inc.",(817) 741-0876,5800 Park Vista Cir,Fort Worth,TX,76244,,zcrm_4276919000002110056
Milkhouse Candle Co.,milkhousecandles.com,Milkhouse Candle Co.,800-565-1543,506 Development Parkway,St. Ansgar,IA,50472,,zcrm_4276919000002110056
"Harbor Mill Candle Company, LLC",harbormillcandles.com,"Harbor Mill Candle Company, LLC",800-214-6712,2400 Riverstone Pkwy Suite 4962,Canton,GA,30114,info@harbormillcandles.com,zcrm_4276919000002110056
Ella B. Candles,ellabcandles.com,Ella B. Candles,980-339-8898,,Charlotte,NC,28270,info@ellabcandles.com,zcrm_4276919000002110056
Heritage Candles,heritagecandles.com,Heritage Candles,800-583-0717,2022 Weems Road,Tucker,GA,30084,info@heritagecandles.com,zcrm_4276919000002110056
Pure Integrity Candles,www.pureintegrity.com,Pure Integrity Candles,(716) 632-0221,4545 Transit Rd. Suite 954,Williamsville,NY,14221,,zcrm_4276919000002110056
Custom Candles LA,customcandlesla.com,Custom Candles LA,310-283-2046,318 Culver Blvd. #D,Playa Del Rey,CA,90293,info@customcandlesla.com,zcrm_4276919000002110056
A Candle Co,www.acandleco.com,A Candle Co,718-874-9194,5 Water Street,South River,NJ,08882,,zcrm_4276919000002110056
CandleChem,www.candlechem.com,CandleChem,(508) 586-1880,56 Intervale Street,Brockton,MA,02302,,zcrm_4276919000002110056
Paddywax,paddywax.com,Paddywax,866-723-3992,"2934 Sidco Dr., #140",Nashville,TN,37204,hello@paddywax.com,zcrm_4276919000002110056
Jeff,www.americancandlesupplies.com,American Candle Supplies,716-632-0221,4545 Transit Road Suite 954,Williamsville,NY,14221,,zcrm_4276919000002110056
Laguna Candles,www.lagunacandles.com,Laguna Candles,949-680-8444,821-A Laguna Canyon Rd.,Laguna Beach,CA,92651,info@lagunacandles.com,zcrm_4276919000002110056
The Design & Packaging Company,www.dnpackaging.com,The Design & Packaging Company,914-595-6911,953 Southern Boulevard,Bronx,NY,10459,sales@dnpackaging.com,zcrm_4276919000002110056
CT River Candles,www.ctrivercandles.com,CT River Candles,(860) 993-6675,220 Albany Tnpk Suite 1039,Canton,CT,06019,mail@ctrivercandles.com,zcrm_4276919000002110056
Our Own Candle Company,www.ourowncandlecompany.com,Our Own Candle Company,716-769-5000,Rt. 426 & 430,Findley Lake,NY,14736,,zcrm_4276919000002110056
Wholesale Candles!,www.allwhitecandles.com,Wholesale Candles!,718-874-9194,5 Water Street,South River,NJ,08882,,zcrm_4276919000002110056
MADDISON AVENUE CANDLE COMPANY,www.maddisonavenue.com,MADDISON AVENUE CANDLE COMPANY,877-287-9769,,Charleston,IL,61920,,zcrm_4276919000002110056
Adirondack Candle Company,adirondackcandle.com,Adirondack Candle Company,518.399.8831,,Glenville,NY,12019,adcandle@aol.com,zcrm_4276919000002110056
Joseph ,fragranceandbrew.com,Maple Hill Candle Company,432-530-1240,1106 Nw 12th Place,Andrews,TX,79714,joseph@fragranceandbrew.com,zcrm_4276919000002110056
Victoria,www.candlesbyvictoria.com,Candles By Victoria,903-944-5042,296 W. Kansas St.,Van,TX,75790,victoria@candlesbyvictoria.com,zcrm_4276919000002110056
Candles4Less,www.candles4less.com,Candles4Less,(619) 295-2263 Ext. 1,,San Diego,CA,92109,,zcrm_4276919000002110056
Keystone Candle,www.keystonecandle.com,Keystone Candle,717-564-2220,7241 Paxton St.,Harrisburg,PA,17111,,zcrm_4276919000002110056
Candles & Supplies,www.candlesandsupplies.net,Candles & Supplies,215-538-8552,2580 MILFORD SQUARE PIKE,QUAKERTOWN,PA,18951,,zcrm_4276919000002110056
SPANGLER CANDY COMPANY,www.spanglercandy.com,"SPANGLER CANDY COMPANY
",419-636-4221,400 North Portland Street,Bryan,OH,43506,info@spanglercandy.com,zcrm_4276919000002110056
Metro Candy Sales,confection.com,Metro Candy Sales,(800) 526-9575,4977 Allison Parkway Suite E,Vacaville,CA,95688,office@confection.com,zcrm_4276919000002110056
First Source,www.first-source.com,First Source,(757) 566-5360,100 Pirson Parkway,Tonawanda,NY,14150,,zcrm_4276919000002110056
"Phyto-Plus, Inc.",zotorganic.com,"Phyto-Plus, Inc.",727-461-7885,2140 Sunnydale Blvd. STE F.,Clearwater,FL,33765,,zcrm_4276919000002110056
Blair Candy Company Inc.,www.blaircandy.com,Blair Candy Company Inc.,814.944.3581,3421 Beale Ave,Altoona,PA,16601,blaircandy@blaircandy.com,zcrm_4276919000002110056
Smith's Candies,smithcandiesmyerstown.com,Smith's Candies,717-866-5336,114 West Lincoln Avenue,Myerstown,PA,17067,candiesmyerstown422@comcast.net,zcrm_4276919000002110056
Strawberry Hill Grand Delights LLC.,www.strawberryhillcandy.com,Strawberry Hill Grand Delights LLC.,(617) 336-3459,39 Emerson Rd. Unit 104,Waltham,MA,02451,,zcrm_4276919000002110056
CandyFavorites,www.candyfavorites.com,CandyFavorites,888-525-7577,1101 Fifth Avenue,McKeesport,PA,15132,,zcrm_4276919000002110056
"Candy Nation, LLC.",www.candynation.com,"Candy Nation, LLC.",610-326-4901,25 South Main Street #65,Yardley,PA,19067,sales@candynation.com,zcrm_4276919000002110056
"Shelby Wholesale HQ
",www.shelbywholesale.com,Shelby Wholesale HQ,586-731-5810,7600 23 Mile Road,Shelby Township,MI,48316,,zcrm_4276919000002110056
Mitchell J. Bernstein,www.vidalcandiesusa.com,"Vidal Candies USA, Inc.",(609) 781-8169,"845 Third Avenue, 6th Floor",New York,NY,10022,mbernstein@vidalcandiesusa.com,zcrm_4276919000002110056
"Miami Candies, LLC",miamicandies.com,"Miami Candies, LLC",(786) 842-3112,12966 SW 132ND AVE,MIAMI,FL,33186,,zcrm_4276919000002110056
Candy People,candypeople.us,Candy People,972-422-4737,"660 N. Central Expressway, Suite 240",Plano,TX,75074,infoUSA@candypeople.com,zcrm_4276919000002110056
Sweet Candy Company,www.sweetcandy.com,Sweet Candy Company,801-886-1444,3780 West Directors Row,Salt Lake City,UT,84104,,zcrm_4276919000002110056
Candy Pros,candypros.com,Candy Pros,(888) 627-2008,301 w 28th st Suite Q,National City,CA,91950,,zcrm_4276919000002110056
Rogers Bulk Candy,www.rogersbulkcandy.com,Rogers Bulk Candy,586-772-1076,15020 E. 9-Mile Rd,East Point,MI,48120,,zcrm_4276919000002110056
Royal Enterprises,royalwholesalecandy.com,Royal Enterprises,(888) 261-8277,"717 Fellowship Road,",Mt. Laurel,NJ,08054,sales@royalwholesalecandy.com,zcrm_4276919000002110056
Sugarman Candy Broward,www.bulkcandywholesaler.com,Sugarman Candy Broward,954-746-2773,10001 NW 50 STREET SUITE 113,Sunrise,FL,33351,info@sugarmancandybroward.com,zcrm_4276919000002110056
"Redstone Foods, Inc",www.redstonefoods.com,"Redstone Foods, Inc",800-444-3520,"1434 Patton Place, Suite 106",Carrollton,TX,75007,info@redstonefoods.com,zcrm_4276919000002110056
Just Candy,www.justcandy.com,Just Candy,513-816-1840,6820 Fairfield Business Drive,Fairfield,OH,45014,,zcrm_4276919000002110056
Candy Town USA,candytownusa.com,Candy Town USA,406-651-9196,"820 Shiloh Crossing Blvd, Suite 1",Billings,MT,59102,,zcrm_4276919000002110056
Sugarman Candy,www.sugarmancandy.com,Sugarman Candy,(305) 982-8553,1720 NW 20th Street,Miami,FL,33142,info@sugarmancandy.com,zcrm_4276919000002110056
